threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score
0.6,0.3,2.5,2.5,True,10000.0,12602.030647692081,2602.0306476920814,26.02030647692082,183,259,41.53005464480874,58.46994535519126,1.192766823027627,14.218746708699973,211.84688184970443,-126.15263899892936,1.6792901324204748,363.8943033873911,-166.54925374951745,6,9,-1808.4796910083132,-12.721361110168036,2485,2.179820518853876,0.014014733682302433,4.87661106542508,0.17784391900334934,-0.9236130094888948,81,1.4387945082431786,10.046450377189553,123.64864546025149,1.8857405050477833
0.6,0.4,2.5,2.5,True,10000.0,12599.205532669264,2599.2055326692644,25.992055326692643,184,260,41.30434782608695,58.69565217391305,1.1926059006755474,14.126117025376518,211.7651041827101,-124.95317023348785,1.6947557535915674,363.8943033873911,-166.54925374951745,6,9,-1808.479691008315,-12.723889685952052,2485,2.1767519896499645,0.013995005168318263,4.885020794695318,0.17744175468262696,-0.9251584183430537,81,1.4372323590872516,9.996944356420308,123.12297875548782,1.8839645001344834
0.7,0.4,2.0,1.5,True,10000.0,11296.900026956015,1296.9000269560147,12.969000269560137,114,177,55.26315789473685,44.73684210526316,1.2283678880618312,11.376316025930008,110.72848779915383,-111.35283734099353,0.9943930522405301,203.94409861323365,-135.65796765665073,9,5,-1006.246452149473,-8.99042046631364,3395,1.732854088774467,0.011141049620558686,2.0427158716278786,0.1057421323965031,-1.2494944975676692,81,1.2888492915285992,7.327118796361698,83.7845235767238,1.6849704592320007
0.7,0.35,2.0,1.5,True,10000.0,11296.900026956015,1296.9000269560147,12.969000269560137,114,177,55.26315789473685,44.73684210526316,1.2283678880618312,11.376316025930008,110.72848779915383,-111.35283734099353,0.9943930522405301,203.94409861323365,-135.65796765665073,9,5,-1006.246452149473,-8.99042046631364,3395,1.732854088774467,0.011141049620558686,2.0427158716278786,0.1057421323965031,-1.2494944975676692,81,1.2888492915285992,7.327118796361698,83.7845235767238,1.6849704592320007
0.7,0.3,2.0,1.5,True,10000.0,11296.900026956015,1296.9000269560147,12.969000269560137,114,177,55.26315789473685,44.73684210526316,1.2283678880618312,11.376316025930008,110.72848779915383,-111.35283734099353,0.9943930522405301,203.94409861323365,-135.65796765665073,9,5,-1006.246452149473,-8.99042046631364,3395,1.732854088774467,0.011141049620558686,2.0427158716278786,0.1057421323965031,-1.2494944975676692,81,1.2888492915285992,7.327118796361698,83.7845235767238,1.6849704592320007
0.65,0.3,2.0,1.5,True,10000.0,11747.33226949664,1747.3322694966391,17.4733226949664,186,286,53.76344086021505,46.236559139784944,1.1665627284781281,9.39425951342283,122.37868090216541,-121.98297465953368,1.0032439464911902,396.4083631433694,-162.80541884971535,10,7,-1529.4771780198662,-11.54135154869141,4459,1.7907927017898602,0.01151355470724337,3.2326858023221425,0.11437345111282587,-1.203593062449475,81,1.1424376215660952,6.109553389848411,93.68305573460897,1.5686017390907587
0.65,0.4,2.0,1.5,True,10000.0,11747.33226949664,1747.3322694966391,17.4733226949664,186,286,53.76344086021505,46.236559139784944,1.1665627284781281,9.39425951342283,122.37868090216541,-121.98297465953368,1.0032439464911902,396.4083631433694,-162.80541884971535,10,7,-1529.4771780198662,-11.54135154869141,4459,1.7907927017898602,0.01151355470724337,3.2326858023221425,0.11437345111282587,-1.203593062449475,81,1.1424376215660952,6.109553389848411,93.68305573460897,1.5686017390907587
0.65,0.35,2.0,1.5,True,10000.0,11747.33226949664,1747.3322694966391,17.4733226949664,186,286,53.76344086021505,46.236559139784944,1.1665627284781281,9.39425951342283,122.37868090216541,-121.98297465953368,1.0032439464911902,396.4083631433694,-162.80541884971535,10,7,-1529.4771780198662,-11.54135154869141,4459,1.7907927017898602,0.01151355470724337,3.2326858023221425,0.11437345111282587,-1.203593062449475,81,1.1424376215660952,6.109553389848411,93.68305573460897,1.5686017390907587
0.7,0.4,2.0,2.0,True,10000.0,11112.263863842445,1112.263863842445,11.122638638424442,90,131,45.55555555555556,54.44444444444444,1.208332267976755,12.358487376027142,157.3453100451083,-108.95701730626527,1.4441044178258777,259.40871054074415,-135.65796765665073,4,8,-1136.0584308913021,-9.6137888677526,4459,1.5081867076767181,0.00969659422345066,1.6915421172804157,0.08117879579208476,-1.3971861796536136,81,0.9790551556136168,8.490563846125518,98.2915390283806,1.4700815862919903
0.7,0.35,2.0,2.0,True,10000.0,11112.263863842445,1112.263863842445,11.122638638424442,90,131,45.55555555555556,54.44444444444444,1.208332267976755,12.358487376027142,157.3453100451083,-108.95701730626527,1.4441044178258777,259.40871054074415,-135.65796765665073,4,8,-1136.0584308913021,-9.6137888677526,4459,1.5081867076767181,0.00969659422345066,1.6915421172804157,0.08117879579208476,-1.3971861796536136,81,0.9790551556136168,8.490563846125518,98.2915390283806,1.4700815862919903
0.7,0.3,2.0,2.0,True,10000.0,11112.263863842445,1112.263863842445,11.122638638424442,90,131,45.55555555555556,54.44444444444444,1.208332267976755,12.358487376027142,157.3453100451083,-108.95701730626527,1.4441044178258777,259.40871054074415,-135.65796765665073,4,8,-1136.0584308913021,-9.6137888677526,4459,1.5081867076767181,0.00969659422345066,1.6915421172804157,0.08117879579208476,-1.3971861796536136,81,0.9790551556136168,8.490563846125518,98.2915390283806,1.4700815862919903
