time,magic,approved,reason,volume,executive_stop,disaster_stop,requested_risk_cash,authorized_risk_cash,existing_portfolio_risk_cash,throttle
2023-12-07 15:00:00+00:00,6001,True,APPROVED,0.04,15657.881875000003,15581.129500000003,266.0405800000032,245.60759999999865,0.0,1.0
2023-12-07 18:00:00+00:00,6002,True,APPROVED,0.03,15747.311875000001,15658.489500000001,266.28636000000324,213.17369999999937,245.60759999999865,1.0
2023-12-15 09:00:00+00:00,6001,True,APPROVED,0.04,16378.867624999999,16309.944499999998,268.2074620000032,220.55400000000083,213.17369999999937,1.0
2023-12-18 09:00:00+00:00,6001,True,APPROVED,0.05,16449.493875,16389.2595,268.37886600000326,240.9375,213.17369999999937,1.0
2023-12-22 01:00:00+00:00,6001,True,APPROVED,0.03,16462.62775,16372.793999999998,268.3799590000033,215.6009999999995,0.0,1.0
2023-12-22 01:00:00+00:00,6002,True,APPROVED,0.03,16462.62775,16372.793999999998,268.3758340000033,215.6009999999995,215.6009999999995,1.0
2023-12-22 15:00:00+00:00,6001,True,APPROVED,0.04,16618.942749999995,16549.553999999993,268.5175390000033,222.04400000000314,215.6009999999995,1.0
2024-01-05 17:00:00+00:00,6001,True,APPROVED,0.03,16099.56675,16013.666,268.69409400000336,206.1618000000006,0.0,1.0
2024-01-08 16:00:00+00:00,6001,True,APPROVED,0.03,16216.462375,16121.0435,268.57826400000334,229.00529999999853,0.0,1.0
2024-01-08 17:00:00+00:00,6002,True,APPROVED,0.03,16231.159875,16134.573499999999,268.6014390000034,231.80729999999966,229.00529999999853,1.0
2024-01-11 20:00:00+00:00,6001,True,APPROVED,0.03,16517.09275,16410.724,269.23979400000337,255.28499999999912,231.80729999999966,1.0
2024-01-12 19:00:00+00:00,6001,True,APPROVED,0.02,16495.514625,16380.7265,269.1705240000034,183.6609999999986,231.80729999999966,1.0
2024-01-18 10:00:00+00:00,6001,True,APPROVED,0.03,16528.142375,16439.466500000002,269.1352405000034,212.8220999999976,0.0,1.0
