magic,entry_time,exit_time,volume,entry_price,exit_price,executive_stop,disaster_stop,exit_reason,net_pnl,cash_after
6002,2022-04-28 20:00:00+00:00,2022-04-29 13:00:00+00:00,0.01,13496.577000000001,13263.417,12865.593750000002,12655.266000000001,signal_exit,-46.69200000000034,103186.46720000087
6001,2022-04-28 19:00:00+00:00,2022-04-29 18:00:00+00:00,0.01,13447.719000000001,13075.447,12820.866,12611.915,signal_exit,-74.51440000000018,103111.98280000087
6001,2022-05-03 02:00:00+00:00,2022-05-03 12:00:00+00:00,0.01,13106.577000000001,13019.819,12440.841375000002,12218.929500000002,signal_exit,-17.41160000000033,103094.57120000088
6001,2022-05-04 21:00:00+00:00,2022-05-05 16:00:00+00:00,0.01,13535.679,12984.669,13002.777750000001,12825.144,executive_stop,-110.26200000000004,102984.27920000088
6002,2022-05-04 21:00:00+00:00,2022-05-05 16:00:00+00:00,0.01,13535.679,12984.669,13002.777750000001,12825.144,executive_stop,-110.26200000000004,102874.04720000087
6001,2022-05-11 12:00:00+00:00,2022-05-11 20:00:00+00:00,0.01,12522.607,12042.939,11988.19525,11810.058,signal_exit,-95.99359999999994,102778.05360000087
6001,2022-05-13 10:00:00+00:00,2022-05-16 18:00:00+00:00,0.01,12147.489,12234.267,11513.0608125,11301.58475,signal_exit,17.295600000000046,102795.31920000087
6002,2022-05-16 01:00:00+00:00,2022-05-16 18:00:00+00:00,0.01,12466.097,12234.267,11810.963749999999,11592.586,signal_exit,-46.425999999999995,102748.92320000088
6001,2022-05-17 11:00:00+00:00,2022-05-18 12:00:00+00:00,0.02,12530.067000000001,12475.747,12079.58025,11929.418000000001,signal_exit,-21.84800000000061,102727.01520000088
6002,2022-05-17 11:00:00+00:00,2022-05-18 16:00:00+00:00,0.02,12530.067000000001,12298.618999999999,12079.58025,11929.418000000001,signal_exit,-92.69920000000086,102634.37600000088
6001,2022-05-20 04:00:00+00:00,2022-05-20 15:00:00+00:00,0.01,11991.877,11991.027,11420.606875,11230.1835,signal_exit,-0.23000000000007279,102634.14600000088
6001,2022-05-25 21:00:00+00:00,2022-05-26 07:00:00+00:00,0.01,11945.359,11853.749,11414.773375,11237.911500000002,signal_exit,-18.38200000000012,102615.76400000088
6002,2022-05-26 13:00:00+00:00,2022-06-01 06:00:00+00:00,0.02,11971.999,12676.127,11520.582250000001,11370.11,signal_exit,281.5312000000003,102897.29520000088
6001,2022-06-02 19:00:00+00:00,2022-06-03 16:00:00+00:00,0.02,12830.637,12564.489,12372.63375,12219.966,signal_exit,-106.57920000000044,102790.65600000089
6002,2022-06-02 19:00:00+00:00,2022-06-03 16:00:00+00:00,0.02,12830.637,12564.489,12372.63375,12219.966,signal_exit,-106.57920000000044,102684.1368000009
6001,2022-06-06 10:00:00+00:00,2022-06-06 20:00:00+00:00,0.03,12744.837,12585.359,12425.747062499999,12319.383749999999,signal_exit,-95.8667999999995,102588.2700000009
6001,2022-06-08 00:00:00+00:00,2022-06-08 14:00:00+00:00,0.02,12687.309000000001,12648.009,12241.878,12093.401000000002,signal_exit,-15.840000000000437,102572.37000000091
6002,2022-06-08 04:00:00+00:00,2022-06-08 18:00:00+00:00,0.02,12681.659,12641.697,12259.60925,12118.926,signal_exit,-16.104799999999813,102556.32520000091
6001,2022-06-15 18:00:00+00:00,2022-06-16 09:00:00+00:00,0.02,11459.059000000001,11338.447,11002.624000000002,10850.479000000001,signal_exit,-48.3648000000004,102507.93040000091
6002,2022-06-15 21:00:00+00:00,2022-06-16 09:00:00+00:00,0.01,11598.369,11338.447,11049.0705,10865.971,signal_exit,-52.044400000000095,102455.91600000091
