entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,exit_reason,initial_lot,bars_held,partial_done,pnl,return_on_initial_balance,balance,strategy,final_lot,reason
2025-06-27 09:30:00,2025-06-27 09:45:00,27427,27428,SELL,3256.75,3266.2207008480464,SL,0.1,1,False,-95.30700848046362,-0.009530700848046362,9322.284608293578,TREND,,
2025-07-01 03:45:00,2025-07-01 08:15:00,27588,27606,BUY,3337.5899999999997,3353.625920021833,TP,0.15,18,True,186.01906692138448,0.01860190669213845,9508.303675214962,TREND,,
2025-07-01 09:00:00,2025-07-01 09:15:00,27609,27610,BUY,3354.48,3348.535769580169,SL,0.16,1,False,-96.06768671729601,-0.0096067686717296,9412.235988497667,TREND,,
2025-07-10 20:45:00,2025-07-10 21:15:00,28280,28282,SELL,3335.67,3325.3931321459772,,0.09,2,True,72.24732523989812,,9484.483313737564,MR,0.05,TP
2025-07-17 08:45:00,2025-07-17 10:00:00,28696,28701,BUY,3312.8199999999997,3323.0289836026172,,0.06,5,True,48.968333952524645,,9533.45164769009,MR,0.03,TP
2025-07-21 10:45:00,2025-07-21 13:00:00,28888,28897,BUY,3399.48,3392.697120525916,SL,0.14,9,False,-95.80031263717578,-0.009580031263717578,9437.651335052915,TREND,,
2025-07-25 11:15:00,2025-07-25 14:00:00,29258,29269,SELL,3332.023,3338.6053303142853,SL,0.15,11,False,-99.6349547142776,-0.009963495471427759,9338.016380338637,TREND,,
2025-07-30 15:15:00,2025-07-30 19:45:00,29550,29564,SELL,3275.09,3284.575814774454,SL,0.1,14,False,-95.45814774453956,-0.009545814774453956,9242.558232594098,TREND,,
2025-08-21 06:45:00,2025-08-21 07:30:00,30988,30991,BUY,3330.23,3330.18,,0.1,3,True,15.463184013362387,,9258.02141660746,MR,0.05,BE_AFTER_PARTIAL
2025-08-31 23:00:00,2025-08-31 23:15:00,31601,31602,BUY,3483.2999999999997,3472.974439419621,SL,0.09,1,False,-93.47004522340926,-0.009347004522340926,9164.55137138405,TREND,,
2025-09-05 08:45:00,2025-09-05 10:30:00,31998,32005,SELL,3583.4300000000003,3583.4800000000005,,0.05,7,True,14.235829266008478,,9178.787200650058,MR,0.03,BE_AFTER_PARTIAL
2025-09-24 15:15:00,2025-09-24 15:45:00,33220,33222,SELL,3720.11,3728.8763436420413,SL,0.11,2,False,-97.08978006245312,-0.009708978006245312,9081.697420587605,TREND,,
2025-10-08 06:15:00,2025-10-08 06:30:00,34104,34105,BUY,4046.4199999999996,4038.0703975664396,SL,0.11,1,False,-92.50562676915993,-0.009250562676915992,8989.191793818445,TREND,,
2025-10-13 19:45:00,2025-10-13 20:30:00,34430,34433,SELL,4128.070000000001,4128.120000000001,,0.04,3,True,15.990389539559837,,9005.182183358005,MR,0.02,SL
2025-10-13 21:15:00,2025-10-14 00:00:00,34436,34447,SELL,4140.173,4166.324298446247,,0.04,11,False,-104.84519378498793,,8900.336989573017,MR,0.04,SL
2025-10-16 18:45:00,2025-10-16 21:15:00,34702,34712,BUY,4360.32,4335.997584579555,SL,0.04,10,False,-97.52966168177794,-0.009752966168177793,8802.80732789124,TREND,,
2025-10-21 03:45:00,2025-10-21 04:00:00,34922,34923,BUY,4300.5599999999995,4259.775874443374,,0.02,1,False,-81.68825111325089,,8721.119076777988,MR,0.02,SL
2025-10-24 02:15:00,2025-10-24 03:30:00,35188,35193,BUY,4083.223,4083.173,,0.03,5,True,25.891626103962444,,8747.010702881951,MR,0.01,SL
2025-10-30 04:15:00,2025-10-30 05:30:00,35568,35573,SELL,4004.79,3978.94023345539,,0.02,5,True,39.63226648923763,,8786.642969371189,MR,0.01,TP
2025-10-31 11:15:00,2025-10-31 12:45:00,35688,35694,BUY,3978.7,4001.4313543024828,,0.02,6,True,34.8517091589755,,8821.494678530164,MR,0.01,TP
2025-11-24 13:45:00,2025-11-24 16:30:00,37166,37177,SELL,4112.43,4138.854768149602,,0.04,11,False,-105.93907259840694,,8715.555605931757,MR,0.04,SL
2025-12-22 08:30:00,2025-12-22 18:00:00,38942,38976,BUY,4418.57,4450.392308665817,TP,0.07,34,True,169.21564621769457,0.016921564621769455,8884.771252149452,TREND,,
2025-12-29 09:30:00,2025-12-29 10:15:00,39301,39304,SELL,4389.72,4327.524645577233,TP,0.04,3,True,186.29606326830503,0.018629606326830504,9071.067315417757,TREND,,
2025-12-29 10:30:00,2025-12-29 11:45:00,39305,39310,SELL,4319.09,4344.885634447907,SL,0.04,5,False,-103.42253779162841,-0.010342253779162841,8967.644777626128,TREND,,
2026-01-04 18:15:00,2026-01-04 20:00:00,39608,39615,SELL,4369.56,4402.559687334349,,0.03,7,False,-99.17906200304668,,8868.465715623082,MR,0.03,SL
2026-01-11 20:00:00,2026-01-11 21:00:00,40075,40079,BUY,4588.623,4568.895816646201,SL,0.05,4,False,-98.93591676899432,-0.009893591676899433,8769.529798854088,TREND,,
2026-01-15 08:45:00,2026-01-15 09:30:00,40402,40405,BUY,4589.82,4606.999646958704,,0.04,3,True,52.024200062219975,,8821.553998916308,MR,0.02,TP
2026-01-20 09:45:00,2026-01-20 10:15:00,40672,40674,BUY,4737.883,4724.92713501684,SL,0.07,2,False,-91.11105488211791,-0.009111105488211792,8730.44294403419,TREND,,
2026-01-25 18:15:00,2026-01-25 20:15:00,40978,40986,SELL,5020.49,5062.149497575899,,0.02,8,False,-83.43899515179794,,8647.003948882391,MR,0.02,SL
2026-01-27 15:15:00,2026-01-27 16:45:00,41154,41160,SELL,5141.360000000001,5188.686250004213,,0.02,6,False,-94.77250000842571,,8552.231448873965,MR,0.02,SL
2026-02-17 09:00:00,2026-02-17 09:30:00,42499,42501,BUY,4870.599999999999,4870.549999999999,,0.02,2,True,24.927775474997258,,8577.159224348961,MR,0.01,SL
2026-02-18 10:15:00,2026-02-18 13:30:00,42596,42609,BUY,5003.99,4981.572000819157,SL,0.04,13,False,-89.91199672336937,-0.008991199672336936,8487.247227625592,TREND,,
2026-02-23 09:45:00,2026-02-23 11:00:00,42870,42875,SELL,5190.45,5190.5,,0.03,5,True,19.904087778584035,,8507.151315404177,MR,0.01,BE_AFTER_PARTIAL
2026-03-18 07:15:00,2026-03-18 07:45:00,44424,44426,SELL,4907.863,4871.592517525711,TP,0.06,2,True,168.8355848800153,0.016883558488001528,8675.986900284192,TREND,,
2026-03-18 08:00:00,2026-03-18 08:15:00,44427,44428,SELL,4881.17,4835.929675725893,TP,0.05,1,True,180.61129709643154,0.018061129709643155,8856.598197380623,TREND,,
2026-03-18 08:30:00,2026-03-18 09:00:00,44429,44431,SELL,4861.26,4880.865589486858,SL,0.05,2,False,-98.32794743428876,-0.009832794743428876,8758.270249946334,TREND,,
2026-03-18 14:15:00,2026-03-18 20:30:00,44452,44473,SELL,4856.84,4856.89,SL,0.04,21,True,117.49747242792796,0.011749747242792796,8875.767722374261,TREND,,
2026-03-19 02:15:00,2026-03-19 03:00:00,44496,44499,SELL,4777.900000000001,4716.347845652233,TP,0.04,3,True,184.36646304330202,0.0184366463043302,9060.134185417563,TREND,,
2026-03-19 03:30:00,2026-03-19 07:00:00,44501,44515,SELL,4718.62,4648.426072955883,TP,0.03,14,True,163.57249643627193,0.016357249643627194,9223.706681853835,TREND,,
2026-03-19 07:30:00,2026-03-19 08:00:00,44517,44519,SELL,4606.150000000001,4522.827070295217,TP,0.03,2,True,194.206835977828,0.0194206835977828,9417.913517831663,TREND,,
2026-03-19 08:30:00,2026-03-19 08:45:00,44521,44522,SELL,4576.400000000001,4614.916616843293,SL,0.03,1,False,-115.72985052987741,-0.011572985052987742,9302.183667301786,TREND,,
2026-03-20 14:15:00,2026-03-22 19:15:00,44636,44652,SELL,4500.1,4403.8594159112245,TP,0.03,16,True,224.3480295404782,0.02243480295404782,9526.531696842265,TREND,,
2026-03-22 19:30:00,2026-03-22 19:45:00,44653,44654,SELL,4426.8,4328.149049641555,TP,0.03,1,True,229.9722175030377,0.022997221750303772,9756.503914345303,TREND,,
2026-03-22 20:00:00,2026-03-22 20:15:00,44655,44656,SELL,4353.35,4398.257811283787,SL,0.02,1,False,-89.93562256757389,-0.008993562256757388,9666.568291777729,TREND,,
2026-03-23 01:45:00,2026-03-23 03:00:00,44678,44683,SELL,4182.04,4234.521525808618,SL,0.02,5,False,-105.08305161723649,-0.010508305161723649,9561.485240160491,TREND,,
2026-04-26 18:15:00,2026-04-26 20:45:00,46848,46858,BUY,4685.28,4685.23,,0.03,10,True,8.040884618690434,,9569.526124779182,MR,0.01,BE_AFTER_PARTIAL
2026-04-28 01:15:00,2026-04-28 01:30:00,46968,46969,BUY,4652.23,4630.624184799976,,0.05,1,False,-108.32907600011622,,9461.197048779066,MR,0.05,SL
2026-05-06 08:30:00,2026-05-06 09:45:00,47549,47554,SELL,4683.1,4707.398395855347,SL,0.04,5,False,-97.4335834213873,-0.00974335834213873,9363.763465357679,TREND,,
2026-05-10 18:15:00,2026-05-10 20:00:00,47768,47775,BUY,4687.16,4687.11,,0.03,7,True,20.659367064015278,,9384.422832421695,MR,0.01,SL
2026-05-15 02:00:00,2026-05-15 02:15:00,48167,48168,SELL,4558.37,4576.785843297578,SL,0.05,1,False,-92.37921648789124,-0.009237921648789124,9292.043615933804,TREND,,
2026-05-24 18:15:00,2026-05-24 23:30:00,48688,48709,SELL,4554.973,4559.270380892646,,0.03,21,False,-13.072142677938864,,9278.971473255866,MR,0.03,TP
