entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,initial_lot,final_lot,pnl,reason,bars_held,partial_done,balance,tick_status,tick_entry_time,tick_exit_time,tick_entry_price,tick_exit_price,tick_pnl,tick_reason,tick_cashflows
2025-03-05 08:45:00,2025-03-05 09:45:00,19996,20000,BUY,2899.83,2914.205,0.06,0.03,60.19401281840023,TP,4,True,10228.8217305709,OK,2025-03-05 08:45:00.033,2025-03-05 09:36:27.465,2900.242,2911.595,50.74799999999881,TP,2
2025-03-06 19:15:00,2025-03-06 20:30:00,20126,20131,BUY,2899.453,2908.5479975921585,0.07,0.03,49.679328128862,TP,5,True,10278.50105869976,OK,2025-03-06 19:15:00.113,2025-03-06 20:43:35.273,2900.195,2908.635,46.45999999999965,TP,2
2025-04-24 18:30:00,2025-04-24 19:45:00,23247,23252,SELL,3363.09,3347.720727940948,0.05,0.03,63.3341237085012,TP,5,True,10341.835182408262,OK,2025-04-24 18:30:00.176,2025-04-24 19:58:07.832,3363.165,3347.395,65.12999999999982,TP,2
2025-04-25 00:00:00,2025-04-25 01:45:00,23269,23276,BUY,3323.39,3294.7165316013347,0.04,0.04,-114.93387359466054,SL,7,False,10226.901308813602,OK,2025-04-25 00:00:00.113,2025-04-25 01:54:12.181,3323.965,3295.295,-114.92000000000029,SL,1
2025-04-30 04:15:00,2025-04-30 08:15:00,23562,23578,BUY,3285.03,3284.3973247729427,0.04,0.04,-2.770700908228028,TP,16,False,10224.130607905374,OK,2025-04-30 04:15:00.025,2025-04-30 08:17:00.322,3285.515,3284.475,-4.399999999999855,TP,1
2025-05-12 03:15:00,2025-05-12 03:45:00,24294,24296,BUY,3246.18,3215.885894803493,0.03,0.03,-91.0623155895202,SL,2,False,10133.068292315853,OK,2025-05-12 03:15:00.115,2025-05-12 03:49:40.044,3246.955,3216.555,-91.38000000000028,SL,1
2025-05-20 10:00:00,2025-05-20 10:15:00,24873,24874,SELL,3260.94,3285.2859343806144,0.04,0.04,-97.62373752245752,SL,1,False,10035.444554793396,OK,2025-05-20 10:00:00.058,2025-05-20 10:23:06.193,3261.015,3285.355,-97.60000000000058,SL,1
2025-07-10 20:45:00,2025-07-10 21:15:00,28280,28282,SELL,3335.67,3325.393132145977,0.09,0.05,72.24732523989812,TP,2,True,10107.691880033291,FORCED_EXIT,2025-07-10 20:45:00.228,2025-07-10 21:15:00.186,3335.745,3326.795,66.2099999999991,FORCED_EXIT,2
2025-07-17 08:45:00,2025-07-17 10:00:00,28696,28701,BUY,3312.82,3323.028983602617,0.06,0.03,48.968333952524645,TP,5,True,10156.66021398582,OK,2025-07-17 08:45:00.137,2025-07-17 10:07:32.286,3313.302,3323.135,46.84799999999963,TP,2
2025-08-21 06:45:00,2025-08-21 07:30:00,30988,30991,BUY,3330.23,3330.18,0.1,0.05,15.463184013362389,BE_AFTER_PARTIAL,3,True,10172.12339799918,FORCED_EXIT,2025-08-21 06:45:00.115,2025-08-21 07:30:01.390,3330.715,3330.865,15.649999999997727,FORCED_EXIT,2
2025-09-05 08:45:00,2025-09-05 10:30:00,31998,32005,SELL,3583.4300000000003,3583.4800000000005,0.05,0.03,14.235829266008478,BE_AFTER_PARTIAL,7,True,10186.35922726519,FORCED_EXIT,2025-09-05 08:45:00.083,2025-09-05 10:30:00.032,3583.505,3579.695,26.150000000000276,FORCED_EXIT,2
2025-10-13 19:45:00,2025-10-13 20:30:00,34430,34433,SELL,4128.070000000001,4128.120000000001,0.04,0.02,15.990389539559835,SL,3,True,10202.349616804748,FORCED_EXIT,2025-10-13 19:45:00.064,2025-10-13 20:30:00.020,4128.145,4126.672,5.652000000003463,FORCED_EXIT,1
2025-10-13 21:15:00,2025-10-14 00:00:00,34436,34447,SELL,4140.173,4166.324298446247,0.04,0.04,-104.84519378498791,SL,11,False,10097.50442301976,OK,2025-10-13 21:15:00.045,2025-10-13 23:52:25.001,4140.248,4166.365,-104.70800000000075,SL,1
2025-10-21 03:45:00,2025-10-21 04:00:00,34922,34923,BUY,4300.56,4259.775874443374,0.02,0.02,-81.68825111325089,SL,1,False,10015.816171906508,OK,2025-10-21 03:45:00.085,2025-10-21 04:13:13.010,4300.952,4259.608,-82.8080000000001,SL,1
2025-10-24 02:15:00,2025-10-24 03:30:00,35188,35193,BUY,4083.223,4083.173,0.03,0.01,25.891626103962444,SL,5,True,10041.70779801047,OK,2025-10-24 02:15:00.142,2025-10-24 03:36:29.084,4083.992,4083.685,25.238999999998505,SL,2
